negative_word,count1,non_negative_word,count2
awesome,80,USAirways,2186
thank,228,mention,16
flight,800,silver,5
number,82,preferred,12
Denver,29,member,37
Las,8,fly,223
Vegas,46,every,71
Sunday,17,week,75
Cancelled,137,always,51
Flighted,23,even,225
Ever,3,meal,20
consider,5,voucher,74
coming,30,That,87
Memphis,3,third,13
Need,25,time,565
TrueBlue,6,called,103
service,206,8004337300,4
fares,13,hung,75
badly,3,anyone,89
route,15,speaks,3
“,142,What,186
USAirways,619,taken,27
excited,16,care,102
fly,132,already,119
When,26,come,60
”,116,expect,36
Spring,3,level,12
Awesome,20,horrible,61
Thanks,371,service,696
You,113,flight,2293
guys,144,frustration,9
rock,17,dealing,18
thanks,350,attendant,56
mobile,8,Her,6
boarding,53,attitude,26
passes,6,ridiculous,71
available,30,Worst,36
iOS,8,customer,554
Passbook,10,ever,180
see,110,You,282
moving,4,Cancelled,902
6th,3,Flightled,434
Big,10,connecting,66
Reagan,4,hours,612
Airport,21,ago,96
ticket,77,amp,472
made,72,;,493
sure,61,tell,95
friend,25,Now,124
wedding,3,stuck,132
greatservice,3,Tampa,9
free,56,Hey,22
wifi,20,bag,391
impressive,4,damaged,15
FlyFi,5,flying,156
Glad,9,yesterday,82
hear,28,site,61
serious,3,working,89
minor,5,WTF,23
dfwairport,9,Can,178
evening,13,get,929
clear,9,assistance,37
JetBlue,216,Flight,559
white,3,today,250
listed,4,PHX,31
never,32,DFW,78
got,146,Not,136
yes,61,But,103
paper,3,job,37
voucher,24,concerned,9
January,6,hold,587
2015,16,hour,416
Question,3,need,312
lady,10,simple,12
safe,11,name,47
They,38,change,201
stop,14,sure,101
plane,99,frustrating,44
yet,24,stranded,68
updates,10,airport,223
;,222,hands,8
Lax,4,surprised,7
Thank,258,upgrade,56
AmericanAir,28,people,227
Customer,13,flights,377
contact,24,least,69
back,146,put,109
directly,3,spot,7
John,6,line,154
submitted,7,This,169
request,16,awesome,13
would,168,sarcasm,7
appreciate,54,Coach,3
call,49,looked,6
Gate,18,like,278
MCO,14,unusable,3
make,100,video,11
delay,26,power,13
luck,13,floor,11
show,37,cant,32
deals,15,plane,495
wonderful,22,speak,82
global,4,agent,205
first,90,wont,11
class,48,hope,67
777,5,received,60
FRA,3,help,478
Great,54,far,48
cont,3,someone,183
Your,29,sent,90
Terry,6,paid,76
hero,4,bank,18
Got,20,account,50
husband,9,VERY,8
thru,18,annoying,11
security,7,RIC,4
retrieve,8,ORD,53
cellphone,3,DEN,23
left,52,ALL,7
Austin,21,issues,104
85832,3,Way,9
Rock,7,youre,4
Thx,41,hotels,10
Conf,4,going,228
amp,164,anyway,13
Any,55,human,38
help,224,asap,9
appreciated,25,Thank,42
Our,123,tried,108
fleet,118,enter,9
fleek,119,rapid,4
Now,14,rewards,5
funny,7,contest,3
ready,17,link,43
May,11,facebook,4
2nd,9,browsers,3
BWI,14,kept,19
keeping,13,security,14
warm,16,getting,172
thx,20,agents,125
confirming,3,phone,343
Again,6,twitter,11
team,43,one,396
prompt,12,American,35
helpful,37,Airlines,23
response,67,delay,254
Cheers,6,rebooked,104
